Date,O,H,L,C,Volume,Market Cap
06/04/18,7722.53,7753.82,7474.04,7514.47,4993170000,131847000000
06/03/18,7632.09,7754.89,7613.04,7720.25,4851760000,130288000000
06/02/18,7536.72,7695.83,7497.26,7643.45,4939300000,128645000000
06/01/18,7500.7,7604.73,7407.34,7541.45,4921460000,128014000000
05/31/18,7406.15,7608.9,7361.13,7494.17,5127130000,126386000000
05/30/18,7469.73,7573.77,7313.6,7406.52,4922540000,127454000000
05/29/18,7129.46,7526.42,7090.68,7472.59,5662660000,121636000000
05/28/18,7371.31,7419.05,7100.89,7135.99,5040600000,125748000000
05/27/18,7362.08,7381.74,7270.96,7368.22,4056520000,125575000000
05/26/18,7486.48,7595.16,7349.12,7355.88,4051540000,127682000000
05/25/18,7592.3,7659.14,7392.65,7480.14,4867830000,129470000000
05/24/18,7561.12,7738.6,7331.14,7587.34,6049220000,128925000000
05/23/18,8037.08,8054.66,7507.88,7557.82,6491120000,137024000000
05/22/18,8419.87,8423.25,8004.58,8041.78,5137010000,143534000000
05/21/18,8522.33,8557.52,8365.12,8418.99,5154990000,145264000000
05/20/18,8246.99,8562.41,8205.24,8513.25,5191060000,140556000000
05/19/18,8255.73,8372.06,8183.35,8247.18,4712400000,140689000000
05/18/18,8091.83,8274.12,7974.82,8250.97,5764190000,137881000000
05/17/18,8370.05,8445.54,8054.12,8094.32,5862530000,142608000000
05/16/18,8504.41,8508.43,8175.49,8368.83,6760220000,144878000000
05/15/18,8705.19,8836.19,8456.45,8510.38,6705710000,148283000000
05/14/18,8713.1,8881.12,8367.97,8716.79,7364150000,148403000000
05/13/18,8515.49,8773.55,8395.12,8723.94,5866380000,145022000000
05/12/18,8441.44,8664.86,8223.5,8504.89,6821380000,143743000000
05/11/18,9052.96,9052.96,8394.46,8441.49,8488520000,154142000000
05/10/18,9325.96,9396.04,9040.52,9043.94,6906700000,158772000000
05/09/18,9223.73,9374.76,9031.62,9325.18,7226890000,157013000000
05/08/18,9380.87,9462.75,9127.77,9234.82,7415870000,159672000000
05/07/18,9645.67,9665.85,9231.53,9373.01,7394020000,164161000000
05/06/18,9845.31,9940.14,9465.25,9654.8,7222280000,167541000000
05/05/18,9700.28,9964.5,9695.12,9858.15,7651940000,165055000000
05/04/18,9695.5,9779.2,9585.96,9700.76,8217830000,164956000000
05/03/18,9233.97,9798.33,9188.15,9743.86,10207300000,157087000000
05/02/18,9104.6,9256.52,9015.14,9235.92,7558160000,154869000000
05/01/18,9251.47,9255.88,8891.05,9119.01,7713020000,157350000000
04/30/18,9426.11,9477.14,9166.81,9240.55,8673920000,160302000000
04/29/18,9346.41,9531.49,9193.71,9419.08,8853000000,158928000000
04/28/18,8939.27,9412.09,8931.99,9348.48,7805480000,151991000000
04/27/18,9290.63,9375.47,8987.05,8987.05,7566290000,157948000000
04/26/18,8867.32,9281.51,8727.09,9281.51,8970560000,150736000000
04/25/18,9701.03,9745.32,8799.84,8845.74,11083100000,164893000000
04/24/18,8934.34,9732.61,8927.83,9697.5,10678800000,151844000000
04/23/18,8794.39,8958.55,8788.81,8930.88,6925190000,149448000000
04/22/18,8925.06,9001.64,8779.61,8802.46,6629900000,151651000000
04/21/18,8848.79,8997.57,8652.15,8895.58,7548550000,150337000000
04/20/18,8286.88,8880.23,8244.54,8845.83,8438110000,140777000000
04/19/18,8159.27,8298.69,8138.78,8294.31,7063210000,138591000000
04/18/18,7944.43,8197.8,7886.01,8163.42,6529910000,134926000000
04/17/18,8071.66,8285.96,7881.72,7902.09,6900880000,137070000000
04/16/18,8337.57,8371.15,7925.73,8058.67,5631310000,141571000000
04/15/18,7999.33,8338.42,7999.33,8329.11,5244480000,135812000000
04/14/18,7874.67,8140.71,7846,7986.24,5191430000,133682000000
04/13/18,7901.09,8183.96,7758.93,7895.96,7764460000,134114000000
04/12/18,6955.38,7899.23,6806.51,7889.25,8906250000,118048000000
04/11/18,6843.47,6968.32,6817.59,6968.32,4641890000,116126000000
04/10/18,6795.44,6872.41,6704.15,6834.76,4272750000,115306000000
04/09/18,7044.32,7178.11,6661.99,6770.73,4894060000,119516000000
04/08/18,6919.98,7111.56,6919.98,7023.52,3652500000,117392000000
04/07/18,6630.51,7050.54,6630.51,6911.09,3976610000,112467000000
04/06/18,6815.96,6857.49,6575,6636.32,3766810000,115601000000
04/05/18,6848.65,6933.82,6644.8,6811.47,5639320000,116142000000
04/04/18,7456.41,7469.88,6803.88,6853.84,4936000000,126434000000
04/03/18,7102.26,7530.94,7072.49,7456.11,5499700000,120415000000
04/02/18,6844.86,7135.47,6816.58,7083.8,4333440000,116037000000
04/01/18,7003.06,7060.95,6526.87,6844.23,4532100000,118705000000
03/31/18,6892.48,7207.85,6863.52,6973.53,4553270000,116820000000
03/30/18,7171.45,7276.66,6683.93,6890.52,6289510000,121534000000
03/29/18,7979.07,7994.33,7081.38,7165.7,6361230000,135205000000
03/28/18,7836.83,8122.89,7809.17,7954.48,4935290000,132781000000
03/27/18,8200,8232.78,7797.28,7833.04,5378250000,138919000000
03/26/18,8498.47,8530.08,7921.43,8209.4,5921040000,143960000000
03/25/18,8612.81,8682.01,8449.1,8495.78,4569880000,145882000000
03/24/18,8901.95,8996.18,8665.7,8668.12,5664600000,150762000000
03/23/18,8736.25,8879.62,8360.62,8879.62,5954120000,147941000000
03/22/18,8939.44,9100.71,8564.9,8728.47,5530390000,151366000000
03/21/18,8937.48,9177.37,8846.33,8929.28,6043130000,151316000000
03/20/18,8619.67,9051.02,8389.89,8913.47,6361790000,145922000000
03/19/18,8344.12,8675.87,8182.4,8630.65,6729110000,141240000000
03/18/18,7890.52,8245.51,7397.99,8223.68,6639190000,133547000000
