date,trendIndex
2017-06-06,15
2017-06-07,11
2017-06-08,9
2017-06-09,12
2017-06-10,8
2017-06-11,7
2017-06-12,16
2017-06-13,7
2017-06-14,9
2017-06-15,20
2017-06-16,11
2017-06-17,10
2017-06-18,7
2017-06-19,7
2017-06-20,8
2017-06-21,8
2017-06-22,9
2017-06-23,9
2017-06-24,12
2017-06-25,7
2017-06-26,14
2017-06-27,9
2017-06-28,10
2017-06-29,5
2017-06-30,5
2017-07-01,6
2017-07-02,10
2017-07-03,5
2017-07-04,6
2017-07-05,7
2017-07-06,8
2017-07-07,8
2017-07-08,3
2017-07-09,3
2017-07-10,7
2017-07-11,11
2017-07-12,10
2017-07-13,10
2017-07-14,9
2017-07-15,12
2017-07-16,16
2017-07-17,9
2017-07-18,10
2017-07-19,11
2017-07-20,11
2017-07-21,13
2017-07-22,11
2017-07-23,11
2017-07-24,10
2017-07-25,15
2017-07-26,11
2017-07-27,14
2017-07-28,16
2017-07-29,11
2017-07-30,7
2017-07-31,16
2017-08-01,37
2017-08-02,25
2017-08-03,9
2017-08-04,15
2017-08-05,22
2017-08-06,11
2017-08-07,15
2017-08-08,16
2017-08-09,11
2017-08-10,15
2017-08-11,10
2017-08-12,22
2017-08-13,19
2017-08-14,16
2017-08-15,14
2017-08-16,15
2017-08-17,11
2017-08-18,16
2017-08-19,12
2017-08-20,10
2017-08-21,12
2017-08-22,16
2017-08-23,14
2017-08-24,16
2017-08-25,14
2017-08-26,6
2017-08-27,5
2017-08-28,11
2017-08-29,18
2017-08-30,14
2017-08-31,12
2017-09-01,17
2017-09-02,20
2017-09-03,15
2017-09-04,27
2017-09-05,14
2017-09-06,10
2017-09-07,18
2017-09-08,23
2017-09-09,16
2017-09-10,15
2017-09-11,20
2017-09-12,17
2017-09-13,32
2017-09-14,46
2017-09-15,38
2017-09-16,22
2017-09-17,20
2017-09-18,22
2017-09-19,16
2017-09-20,11
2017-09-21,18
2017-09-22,14
2017-09-23,14
2017-09-24,10
2017-09-25,15
2017-09-26,11
2017-09-27,16
2017-09-28,11
2017-09-29,16
2017-09-30,13
2017-10-01,12
2017-10-02,15
2017-10-03,12
2017-10-04,12
2017-10-05,12
2017-10-06,8
2017-10-07,6
2017-10-08,11
2017-10-09,13
2017-10-10,14
2017-10-11,16
2017-10-12,26
2017-10-13,27
2017-10-14,17
2017-10-15,11
2017-10-16,15
2017-10-17,18
2017-10-18,24
2017-10-19,15
2017-10-20,17
2017-10-21,20
2017-10-22,12
2017-10-23,25
2017-10-24,25
2017-10-25,20
2017-10-26,24
2017-10-27,17
2017-10-28,15
2017-10-29,16
2017-10-30,21
2017-10-31,26
2017-11-01,30
2017-11-02,42
2017-11-03,24
2017-11-04,18
2017-11-05,20
2017-11-06,29
2017-11-07,23
2017-11-08,34
2017-11-09,27
2017-11-10,45
2017-11-11,45
2017-11-12,57
2017-11-13,36
2017-11-14,25
2017-11-15,26
2017-11-16,27
2017-11-17,34
2017-11-18,19
2017-11-19,21
2017-11-20,35
2017-11-21,33
2017-11-22,26
2017-11-23,22
2017-11-24,25
2017-11-25,24
2017-11-26,38
2017-11-27,45
2017-11-28,46
2017-11-29,100
2017-11-30,76
2017-12-01,45
2017-12-02,34
2017-12-03,33
2017-12-04,49
2017-12-05,52
2017-12-06,70
